"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia REQUENA (000)",21213,17146,2193,1070,804
"Agric., ganadería, caza y silvicultura (001)",12496,11092,1215,174,15
"Pesca (002)",1219,1137,64,17,1
"Explotación de minas y canteras (003)",7,,1,3,3
"Industrias manufactureras (004)",545,410,94,39,2
"Suministro de electricidad, gas y agua (005)",30,11,5,14,
"Construcción (006)",288,140,67,73,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1906,1773,118,14,1
"Venta, mant.y rep. veh.autom y motoc. (008)",80,77,3,,
"Comercio al por mayor (009)",73,61,9,2,1
"Comercio al por menor (010)",1753,1635,106,12,
"Hoteles y restaurantes (011)",498,440,46,8,4
"Trans., almac. y comunicaciones (012)",525,420,49,35,21
"Intermediación financiera (013)",12,4,5,2,1
"Activid.inmobil., empres. y alquileres (014)",149,72,21,38,18
"Admin.pub. y defensa; p. segur soc.afil (015)",448,,,,448
"Enseñanza (016)",1491,360,379,584,168
"Servicios sociales y de salud (017)",129,39,9,7,74
"Otras activ. serv.comun.soc y personales (018)",203,143,39,12,9
"Hogares privados con servicio doméstico (019)",590,590,,,
"Actividad economica no especificada (021)",677,515,81,50,31
"Hombres (022)",14867,11905,1664,717,581
"Agric., ganadería, caza y silvicultura (023)",9480,8366,953,146,15
"Pesca (024)",1161,1082,62,16,1
"Explotación de minas y canteras (025)",7,,1,3,3
"Industrias manufactureras (026)",432,311,83,36,2
"Suministro de electricidad, gas y agua (027)",29,10,5,14,
"Construcción (028)",283,137,65,73,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",995,902,80,12,1
"Venta, mant.y rep. veh.autom y motoc. (030)",74,71,3,,
"Comercio al por mayor (031)",53,43,7,2,1
"Comercio al por menor (032)",868,788,70,10,
"Hoteles y restaurantes (033)",92,71,16,4,1
"Trans., almac. y comunicaciones (034)",506,404,47,34,21
"Intermediación financiera (035)",9,1,5,2,1
"Activid.inmobil., empres. y alquileres (036)",112,55,17,25,15
"Admin.pub. y defensa; p. segur soc.afil (037)",355,,,,355
"Enseñanza (038)",805,175,236,306,88
"Servicios sociales y de salud (039)",77,23,7,2,45
"Otras activ. serv.comun.soc y personales (040)",109,68,30,6,5
"Hogares privados con servicio doméstico (041)",62,62,,,
