"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PATAZ (000)",24578,23880,7202,2583,2535,2317,3615,2720,2908,698
"Católica (001)",18644,18076,5510,2017,1961,1739,2687,2007,2155,568
"Cristiana/Evangélica (002)",5067,4972,1439,454,475,484,802,632,686,95
"Otra (003)",302,294,90,40,27,30,51,31,25,8
"Ninguna (004)",565,538,163,72,72,64,75,50,42,27
,,,,,,,,,,
"URBANA (006)",6869,6608,2044,902,943,728,973,554,464,261
"Católica (007)",5285,5064,1592,713,740,555,721,395,348,221
"Cristiana/Evangélica (008)",1313,1286,381,146,167,125,222,136,109,27
"Otra (009)",110,107,35,15,12,17,11,12,5,3
"Ninguna (010)",161,151,36,28,24,31,19,11,2,10
,,,,,,,,,,
"RURAL (012)",17709,17272,5158,1681,1592,1589,2642,2166,2444,437
"Católica (013)",13359,13012,3918,1304,1221,1184,1966,1612,1807,347
"Cristiana/Evangélica (014)",3754,3686,1058,308,308,359,580,496,577,68
"Otra (015)",192,187,55,25,15,13,40,19,20,5
"Ninguna (016)",404,387,127,44,48,33,56,39,40,17
