"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia AMBO",,,,,,,,
"Hogares (001)",13392,9470,2948,1101,73,773,255,3419
"Ocupantes presentes (002)",55095,40601,12859,4856,283,3336,1210,12406
"Casa independiente",,,,,,,,
"Hogares (004)",12855,9099,2863,1062,68,745,239,3263
"Ocupantes presentes (005)",52892,39054,12549,4706,267,3226,1149,11780
"Departamento en edificio",,,,,,,,
"Hogares (007)",63,57,53,27,4,24,12,2
"Ocupantes presentes (008)",216,201,191,108,11,95,43,8
"Vivienda en quinta",,,,,,,,
"Hogares (010)",6,5,2,1,,,,1
"Ocupantes presentes (011)",24,20,5,4,,,,4
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",57,37,21,10,1,4,4,15
"Ocupantes presentes (014)",187,126,67,29,5,15,18,45
"Choza o cabaña",,,,,,,,
"Hogares (016)",401,265,7,1,,,,135
"Ocupantes presentes (017)",1756,1186,40,9,,,,563
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",8,7,2,,,,,1
"Ocupantes presentes (023)",18,14,7,,,,,4
"Otro tipo",,,,,,,,
"Hogares (025)",2,,,,,,,2
"Ocupantes presentes (026)",2,,,,,,,2
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",4532,3287,2065,771,66,658,233,952
"Ocupantes presentes (029)",18087,13644,8806,3303,249,2793,1099,3313
"Casa independiente",,,,,,,,
"Hogares (031)",4402,3185,1987,733,61,630,217,933
"Ocupantes presentes (032)",17648,13289,8536,3162,233,2683,1038,3252
"Departamento en edificio",,,,,,,,
"Hogares (034)",63,57,53,27,4,24,12,2
"Ocupantes presentes (035)",216,201,191,108,11,95,43,8
"Vivienda en quinta",,,,,,,,
"Hogares (037)",6,5,2,1,,,,1
"Ocupantes presentes (038)",24,20,5,4,,,,4
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",57,37,21,10,1,4,4,15
"Ocupantes presentes (041)",187,126,67,29,5,15,18,45
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",4,3,2,,,,,1
"Ocupantes presentes (050)",12,8,7,,,,,4
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",8860,6183,883,330,7,115,22,2467
"Ocupantes presentes (056)",37008,26957,4053,1553,34,543,111,9093
"Casa independiente",,,,,,,,
"Hogares (058)",8453,5914,876,329,7,115,22,2330
"Ocupantes presentes (059)",35244,25765,4013,1544,34,543,111,8528
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",401,265,7,1,,,,135
"Ocupantes presentes (071)",1756,1186,40,9,,,,563
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",4,4,,,,,,
"Ocupantes presentes (077)",6,6,,,,,,
"Otro tipo",,,,,,,,
"Hogares (079)",2,,,,,,,2
"Ocupantes presentes (080)",2,,,,,,,2
