"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia REQUENA (000)",21213,587,22,10096,7925,550,1164,282,587
"Empleado (001)",2653,8,,148,655,239,950,167,486
"Obrero (002)",2738,61,,1295,1272,56,33,14,7
"Trabajador independiente (003)",10847,331,9,5789,4198,211,154,77,78
"Empleador o patrono (004)",396,4,,181,177,5,12,8,9
"Trabajador familiar no remunerado (005)",3989,177,12,2412,1326,32,13,10,7
"Trabajador del hogar (006)",590,6,1,271,297,7,2,6,
"Hombres (008)",14867,282,12,6900,5990,400,689,208,386
"Empleado (009)",1624,4,,71,445,163,517,120,304
"Obrero (010)",2272,37,,994,1141,49,33,13,5
"Trabajador independiente (011)",8551,195,4,4580,3365,164,119,60,64
"Empleador o patrono (012)",323,3,,149,143,3,11,6,8
"Trabajador familiar no remunerado (013)",2035,43,8,1082,864,19,8,6,5
"Trabajador del hogar (014)",62,,,24,32,2,1,3,
"Mujeres (016)",6346,305,10,3196,1935,150,475,74,201
"Empleado (017)",1029,4,,77,210,76,433,47,182
"Obrero (018)",466,24,,301,131,7,,1,2
"Trabajador independiente (019)",2296,136,5,1209,833,47,35,17,14
"Empleador o patrono (020)",73,1,,32,34,2,1,2,1
"Trabajador familiar no remunerado (021)",1954,134,4,1330,462,13,5,4,2
"Trabajador del hogar (022)",528,6,1,247,265,5,1,3,
,,,,,,,,,
"URBANA (024)",11926,202,8,4377,5190,462,965,223,499
"Empleado (025)",2267,7,,132,612,197,778,130,411
"Obrero (026)",1773,26,,716,935,47,30,12,7
"Trabajador independiente (027)",5645,114,4,2482,2597,183,134,63,68
"Empleador o patrono (028)",233,1,,85,116,4,12,7,8
"Trabajador familiar no remunerado (029)",1592,51,3,806,688,24,9,6,5
"Trabajador del hogar (030)",416,3,1,156,242,7,2,5,
"Hombres (032)",7961,91,2,2764,3728,330,562,157,327
"Empleado (033)",1365,4,,60,413,131,412,90,255
"Obrero (034)",1510,17,,560,845,42,30,11,5
"Trabajador independiente (035)",4060,58,1,1742,1915,138,103,47,56
"Empleador o patrono (036)",175,,,62,88,2,11,5,7
"Trabajador familiar no remunerado (037)",812,12,1,327,446,15,5,2,4
"Trabajador del hogar (038)",39,,,13,21,2,1,2,
"Mujeres (040)",3965,111,6,1613,1462,132,403,66,172
"Empleado (041)",902,3,,72,199,66,366,40,156
"Obrero (042)",263,9,,156,90,5,,1,2
"Trabajador independiente (043)",1585,56,3,740,682,45,31,16,12
"Empleador o patrono (044)",58,1,,23,28,2,1,2,1
"Trabajador familiar no remunerado (045)",780,39,2,479,242,9,4,4,1
"Trabajador del hogar (046)",377,3,1,143,221,5,1,3,
,,,,,,,,,
"RURAL (048)",9287,385,14,5719,2735,88,199,59,88
"Empleado (049)",386,1,,16,43,42,172,37,75
"Obrero (050)",965,35,,579,337,9,3,2,
"Trabajador independiente (051)",5202,217,5,3307,1601,28,20,14,10
"Empleador o patrono (052)",163,3,,96,61,1,,1,1
"Trabajador familiar no remunerado (053)",2397,126,9,1606,638,8,4,4,2
"Trabajador del hogar (054)",174,3,,115,55,,,1,
"Hombres (056)",6906,191,10,4136,2262,70,127,51,59
"Empleado (057)",259,,,11,32,32,105,30,49
"Obrero (058)",762,20,,434,296,7,3,2,
"Trabajador independiente (059)",4491,137,3,2838,1450,26,16,13,8
"Empleador o patrono (060)",148,3,,87,55,1,,1,1
"Trabajador familiar no remunerado (061)",1223,31,7,755,418,4,3,4,1
"Trabajador del hogar (062)",23,,,11,11,,,1,
"Mujeres (064)",2381,194,4,1583,473,18,72,8,29
"Empleado (065)",127,1,,5,11,10,67,7,26
"Obrero (066)",203,15,,145,41,2,,,
"Trabajador independiente (067)",711,80,2,469,151,2,4,1,2
"Empleador o patrono (068)",15,,,9,6,,,,
"Trabajador familiar no remunerado (069)",1174,95,2,851,220,4,1,,1
"Trabajador del hogar (070)",151,3,,104,44,,,,
