"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CARABAYA (000)",68596,15556,3048,707,49352
"Quechua (001)",57703,12627,1376,371,43344
"Aymara (002)",426,35,56,11,326
"Asháninka (003)",6,6,,1,
"Otra lengua nativa (004)",23,2,5,,16
"Castellano (005)",10385,2879,1596,323,5636
"Idioma Extranjero (006)",14,,11,1,2
"Es Sordomudo/a (007)",39,7,4,,28
"Hombres (009)",35653,7751,1739,479,25739
"Quechua (010)",29455,6242,760,226,22240
"Aymara (011)",292,20,44,9,221
"Asháninka (012)",3,3,,,
"Otra lengua nativa (013)",16,2,4,,10
"Castellano (014)",5856,1481,920,243,3252
"Idioma Extranjero (015)",11,,10,1,
"Es Sordomudo/a (016)",20,3,1,,16
"Mujeres (018)",32943,7805,1309,228,23613
"Quechua (019)",28248,6385,616,145,21104
"Aymara (020)",134,15,12,2,105
"Asháninka (021)",3,3,,1,
"Otra lengua nativa (022)",7,,1,,6
"Castellano (023)",4529,1398,676,80,2384
"Idioma Extranjero (024)",3,,1,,2
"Es Sordomudo/a (025)",19,4,3,,12
,,,,,
"URBANA (027)",28137,6125,2482,414,19142
"Quechua (028)",20249,3909,1022,212,15113
"Aymara (029)",158,11,39,5,104
"Asháninka (030)",4,4,,,
"Otra lengua nativa (031)",21,2,5,,14
"Castellano (032)",7683,2198,1404,196,3903
"Idioma Extranjero (033)",13,,11,1,1
"Es Sordomudo/a (034)",9,1,1,,7
"Hombres (036)",14225,2996,1404,276,9569
"Quechua (037)",9911,1894,554,128,7341
"Aymara (038)",98,3,30,3,63
"Asháninka (039)",2,2,,,
"Otra lengua nativa (040)",15,2,4,,9
"Castellano (041)",4184,1094,805,144,2154
"Idioma Extranjero (042)",11,,10,1,
"Es Sordomudo/a (043)",4,1,1,,2
"Mujeres (045)",13912,3129,1078,138,9573
"Quechua (046)",10338,2015,468,84,7772
"Aymara (047)",60,8,9,2,41
"Asháninka (048)",2,2,,,
"Otra lengua nativa (049)",6,,1,,5
"Castellano (050)",3499,1104,599,52,1749
"Idioma Extranjero (051)",2,,1,,1
"Es Sordomudo/a (052)",5,,,,5
,,,,,
"RURAL (054)",40459,9431,566,293,30210
"Quechua (055)",37454,8718,354,159,28231
"Aymara (056)",268,24,17,6,222
"Asháninka (057)",2,2,,1,
"Otra lengua nativa (058)",2,,,,2
"Castellano (059)",2702,681,192,127,1733
"Idioma Extranjero (060)",1,,,,1
"Es Sordomudo/a (061)",30,6,3,,21
"Hombres (063)",21428,4755,335,203,16170
"Quechua (064)",19544,4348,206,98,14899
"Aymara (065)",194,17,14,6,158
"Asháninka (066)",1,1,,,
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",1672,387,115,99,1098
"Es Sordomudo/a (070)",16,2,,,14
"Mujeres (072)",19031,4676,231,90,14040
"Quechua (073)",17910,4370,148,61,13332
"Aymara (074)",74,7,3,,64
"Asháninka (075)",1,1,,1,
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",1030,294,77,28,635
"Idioma Extranjero (078)",1,,,,1
"Es Sordomudo/a (079)",14,4,3,,7
