"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ISLAY (000)",20269,19280,5417,3216,3735,2527,2589,1080,716,989
"Católica (001)",17657,16769,4675,2817,3265,2218,2269,907,618,888
"Cristiana/Evangélica (002)",1267,1226,353,191,223,163,149,94,53,41
"Otra (003)",995,959,283,139,178,113,139,68,39,36
"Ninguna (004)",350,326,106,69,69,33,32,11,6,24
,,,,,,,,,,
"URBANA (006)",18702,17765,5016,3004,3467,2329,2359,963,627,937
"Católica (007)",16281,15441,4329,2633,3031,2041,2060,803,544,840
"Cristiana/Evangélica (008)",1173,1133,328,183,206,152,137,84,43,40
"Otra (009)",936,901,267,127,169,105,133,65,35,35
"Ninguna (010)",312,290,92,61,61,31,29,11,5,22
,,,,,,,,,,
"RURAL (012)",1567,1515,401,212,268,198,230,117,89,52
"Católica (013)",1376,1328,346,184,234,177,209,104,74,48
"Cristiana/Evangélica (014)",94,93,25,8,17,11,12,10,10,1
"Otra (015)",59,58,16,12,9,8,6,3,4,1
"Ninguna (016)",38,36,14,8,8,2,3,,1,2
