"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUANCABAMBA (000)",43089,41865,13232,4412,3999,3466,5428,4427,6901,1224
"Católica (001)",37335,36253,11606,3928,3539,3003,4637,3806,5734,1082
"Cristiana/Evangélica (002)",4753,4644,1279,382,371,371,678,535,1028,109
"Otra (003)",585,567,210,50,48,50,68,58,83,18
"Ninguna (004)",416,401,137,52,41,42,45,28,56,15
,,,,,,,,,,
"URBANA (006)",6043,5819,1972,860,820,575,722,418,452,224
"Católica (007)",5543,5335,1798,799,755,530,662,378,413,208
"Cristiana/Evangélica (008)",349,336,111,46,49,30,45,26,29,13
"Otra (009)",118,115,51,11,12,9,10,13,9,3
"Ninguna (010)",33,33,12,4,4,6,5,1,1,
,,,,,,,,,,
"RURAL (012)",37046,36046,11260,3552,3179,2891,4706,4009,6449,1000
"Católica (013)",31792,30918,9808,3129,2784,2473,3975,3428,5321,874
"Cristiana/Evangélica (014)",4404,4308,1168,336,322,341,633,509,999,96
"Otra (015)",467,452,159,39,36,41,58,45,74,15
"Ninguna (016)",383,368,125,48,37,36,40,27,55,15
