"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SIHUAS (000)",8288,6756,611,319,602
"Sin nivel (001)",1643,1544,71,18,10
"Educación inicial (002)",18,15,2,1,
"Primaria (003)",2956,2722,181,21,32
"Secundaria (004)",1900,1666,133,37,64
"Superior no univ. incompleta (005)",272,195,29,11,37
"Superior no univ. completa (006)",669,279,99,98,193
"Superior univ. incompleta (007)",220,127,17,29,47
"Superior univ. completa (008)",610,208,79,104,219
"De 06 a 14 años (010)",127,97,27,3,
"Sin nivel (011)",2,2,,,
"Educación inicial (012)",7,6,,1,
"Primaria (013)",96,69,25,2,
"Secundaria (014)",22,20,2,,
"De 15 a 29 años (020)",2333,1914,184,81,154
"Sin nivel (021)",102,99,3,,
"Educación inicial (022)",7,5,2,,
"Primaria (023)",661,611,40,5,5
"Secundaria (024)",1008,877,85,18,28
"Superior no univ. incompleta (025)",146,113,14,7,12
"Superior no univ. completa (026)",177,85,24,22,46
"Superior univ. incompleta (027)",114,79,6,9,20
"Superior univ. completa (028)",118,45,10,20,43
"De 30 a 44 años (030)",2813,2136,233,135,309
"Sin nivel (031)",464,428,25,5,6
"Educación inicial (032)",4,4,,,
"Primaria (033)",954,878,56,9,11
"Secundaria (034)",572,510,33,9,20
"Superior no univ. incompleta (035)",98,65,12,4,17
"Superior no univ. completa (036)",352,122,59,52,119
"Superior univ. incompleta (037)",78,34,8,14,22
"Superior univ. completa (038)",291,95,40,42,114
"De 45 a 64 años (040)",2192,1821,150,92,129
"Sin nivel (041)",636,591,33,8,4
"Primaria (043)",930,860,54,5,11
"Secundaria (044)",263,229,12,9,13
"Superior no univ. incompleta (045)",25,15,3,,7
"Superior no univ. completa (046)",124,58,16,22,28
"Superior univ. incompleta (047)",24,10,3,6,5
"Superior univ. completa (048)",190,58,29,42,61
"De 65 y más años (050)",823,788,17,8,10
"Sin nivel (051)",439,424,10,5,
"Primaria (053)",315,304,6,,5
"Secundaria (054)",35,30,1,1,3
"Superior no univ. incompleta (055)",3,2,,,1
"Superior no univ. completa (056)",16,14,,2,
"Superior univ. incompleta (057)",4,4,,,
"Superior univ. completa (058)",11,10,,,1
,,,,,
"URBANA (060)",2688,1751,217,234,486
"Sin nivel (061)",186,182,3,,1
