"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PURUS (000)",851,165,420,130,39,11,6,1,,,79
"Catolica (001)",270,33,124,51,21,5,4,1,,,31
"Cristiana / Evangelica (002)",502,108,261,70,14,5,2,,,,42
"Otra (003)",7,,4,,1,1,,,,,1
"Ninguna (004)",72,24,31,9,3,,,,,,5
,,,,,,,,,,,
"URBANA (006)",285,26,122,58,25,8,5,1,,,40
"Catolica (007)",158,10,59,39,19,4,4,1,,,22
"Cristiana / Evangelica (008)",111,14,56,19,4,3,1,,,,14
"Otra (009)",7,,4,,1,1,,,,,1
"Ninguna (010)",9,2,3,,1,,,,,,3
,,,,,,,,,,,
"RURAL (012)",566,139,298,72,14,3,1,,,,39
"Catolica (013)",112,23,65,12,2,1,,,,,9
"Cristiana / Evangelica (014)",391,94,205,51,10,2,1,,,,28
"Ninguna (016)",63,22,28,9,2,,,,,,2
