"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SULLANA (000)",99088,1145,32650,36480,24584,4229
"Agric., ganadería, caza y silvicultura (001)",24451,380,8091,7935,6296,1749
"Pesca (002)",385,3,165,158,57,2
"Explotación de minas y canteras (003)",298,1,122,105,66,4
"Industrias manufactureras (004)",6761,75,2511,2403,1510,262
"Suministro de electricidad, gas y agua (005)",245,4,61,91,84,5
"Construcción (006)",4338,20,1274,1664,1197,183
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",21666,380,6581,8007,5723,975
"Venta, mant.y rep. veh.autom.y motoc. (008)",2025,27,759,700,474,65
"Comercio al por mayor (009)",1192,5,464,461,239,23
"Comercio al por menor (010)",18449,348,5358,6846,5010,887
"Hoteles y restaurantes (011)",3858,55,1271,1299,1067,166
"Trans., almac. y comunicaciones (012)",9283,37,3400,3627,2033,186
"Intermediación financiera (013)",369,,175,148,44,2
"Activid.inmobil., empres. y alquileres (014)",3631,5,1268,1497,790,71
"Admin.pub. y defensa; p. segur.soc afil (015)",2489,,526,1125,812,26
"Enseñanza (016)",6284,,984,3401,1845,54
"Servicios sociales y de salud (017)",1550,,338,771,405,36
"Otras activ. serv.comun.soc y personales (018)",3359,37,1115,1254,810,143
"Hogares privados con servicio doméstico (019)",2086,52,940,637,398,59
"Actividad economica no especificada (021)",2415,9,929,795,543,139
"Desocupado (022)",5620,87,2899,1563,904,167
"Hombres (023)",72501,888,24167,25846,18163,3437
"Agric., ganadería, caza y silvicultura (024)",23228,334,7674,7535,6021,1664
"Pesca (025)",347,3,147,144,51,2
"Explotación de minas y canteras (026)",287,1,113,104,65,4
"Industrias manufactureras (027)",5336,63,2081,1841,1132,219
"Suministro de electricidad, gas y agua (028)",225,4,55,86,75,5
"Construcción (029)",4251,20,1238,1628,1182,183
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",13383,288,4253,4744,3478,620
"Venta, mant.y rep. veh.autom.y motoc. (031)",1921,26,720,661,450,64
"Comercio al por mayor (032)",825,3,321,321,161,19
"Comercio al por menor (033)",10637,259,3212,3762,2867,537
"Hoteles y restaurantes (034)",1168,32,456,365,253,62
"Trans., almac. y comunicaciones (035)",8974,35,3228,3543,1987,181
"Intermediación financiera (036)",209,,89,85,34,1
"Activid.inmobil., empres. y alquileres (037)",2754,4,858,1164,660,68
