"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CAJAMARCA (000)",276800,58812,95165,63134,42264,17425
"Hombres (001)",135690,29758,46776,31129,20337,7690
"Mujeres (002)",141110,29054,48389,32005,21927,9735
"PEA (003)",112644,1734,42413,40119,23630,4748
"Hombres (004)",78969,1128,29008,27987,17094,3752
"Mujeres (005)",33675,606,13405,12132,6536,996
"Ocupada (006)",106196,1563,39000,38287,22762,4584
"Hombres (007)",74123,1014,26571,26574,16351,3613
"Mujeres (008)",32073,549,12429,11713,6411,971
"Desocupada (009)",6448,171,3413,1832,868,164
"Hombres (010)",4846,114,2437,1413,743,139
"Mujeres (011)",1602,57,976,419,125,25
"No PEA (012)",164156,57078,52752,23015,18634,12677
"Hombres (013)",56721,28630,17768,3142,3243,3938
"Mujeres (014)",107435,28448,34984,19873,15391,8739
,,,,,,
"URBANA (018)",154251,28608,55246,37650,24199,8548
"Hombres (019)",74587,14380,26743,18234,11590,3640
"Mujeres (020)",79664,14228,28503,19416,12609,4908
"PEA (021)",69628,804,25491,26404,14921,2008
"Hombres (022)",43406,514,15464,16433,9613,1382
"Mujeres (023)",26222,290,10027,9971,5308,626
"Ocupada (024)",66155,759,23709,25305,14458,1924
"Hombres (025)",41102,482,14364,15690,9251,1315
"Mujeres (026)",25053,277,9345,9615,5207,609
"Desocupada (027)",3473,45,1782,1099,463,84
"Hombres (028)",2304,32,1100,743,362,67
"Mujeres (029)",1169,13,682,356,101,17
"No PEA (030)",84623,27804,29755,11246,9278,6540
"Hombres (031)",31181,13866,11279,1801,1977,2258
"Mujeres (032)",53442,13938,18476,9445,7301,4282
,,,,,,
"RURAL (036)",122549,30204,39919,25484,18065,8877
"Hombres (037)",61103,15378,20033,12895,8747,4050
"Mujeres (038)",61446,14826,19886,12589,9318,4827
"PEA (039)",43016,930,16922,13715,8709,2740
"Hombres (040)",35563,614,13544,11554,7481,2370
"Mujeres (041)",7453,316,3378,2161,1228,370
"Ocupada (042)",40041,804,15291,12982,8304,2660
"Hombres (043)",33021,532,12207,10884,7100,2298
"Mujeres (044)",7020,272,3084,2098,1204,362
"Desocupada (045)",2975,126,1631,733,405,80
"Hombres (046)",2542,82,1337,670,381,72
"Mujeres (047)",433,44,294,63,24,8
"No PEA (048)",79533,29274,22997,11769,9356,6137
"Hombres (049)",25540,14764,6489,1341,1266,1680
"Mujeres (050)",53993,14510,16508,10428,8090,4457
