"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",9323,8867,2591,1261,1335,966,1233,744,438,299,456,24060
"De 12 a 14 años (001)",620,615,611,4,,,,,,,5,4
"De 15 a 19 años (002)",1036,1016,900,102,13,1,,,,,20,131
"De 20 a 24 años (003)",1082,946,482,328,121,11,3,1,,,136,623
"De 25 a 29 años (004)",978,864,195,301,251,82,34,1,,,114,1197
"De 30 a 34 años (005)",861,796,105,196,248,160,73,13,,1,65,1577
"De 35 a 39 años (006)",760,720,55,115,201,176,131,38,4,,40,1876
"De 40 a 44 años (007)",688,667,45,51,162,144,183,54,23,5,21,2186
"De 45 a 49 años (008)",613,607,39,43,113,108,186,83,26,9,6,2257
"De 50 y más años (009)",2685,2636,159,121,226,284,623,554,385,284,49,14209
"PEA (010)",3325,3117,727,546,598,383,435,234,126,68,208,8107
"De 12 a 14 años (011)",24,24,24,,,,,,,,,
"De 15 a 19 años (012)",190,186,153,29,4,,,,,,4,37
"De 20 a 24 años (013)",403,349,198,105,39,5,1,1,,,54,209
"De 25 a 29 años (014)",473,407,123,135,102,32,15,,,,66,497
"De 30 a 34 años (015)",420,382,68,112,110,63,24,5,,,38,658
"De 35 a 39 años (016)",358,338,35,65,101,71,54,11,1,,20,786
"De 40 a 44 años (017)",301,288,25,31,89,49,70,15,7,2,13,830
"De 45 a 49 años (018)",288,286,26,24,66,59,72,29,6,4,2,922
"De 50 y más años (019)",868,857,75,45,87,104,199,173,112,62,11,4168
"Ocupada (020)",3065,2893,594,512,574,374,417,231,125,66,172,7873
"De 12 a 14 años (021)",23,23,23,,,,,,,,,
"De 15 a 19 años (022)",149,145,115,27,3,,,,,,4,33
