"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANGALLO (000)",9509,8160,587,394,368
"Hombres (001)",6127,5132,444,282,269
"Mujeres (002)",3382,3028,143,112,99
"De 06 a 14 años (003)",238,223,8,7,
"Hombres (004)",137,127,4,6,
"Mujeres (005)",101,96,4,1,
"De 15 a 29 años (006)",2795,2361,208,107,119
"Hombres (007)",1757,1430,157,78,92
"Mujeres (008)",1038,931,51,29,27
"De 30 a 44 años (009)",3235,2663,232,187,153
"Hombres (010)",2107,1701,174,129,103
"Mujeres (011)",1128,962,58,58,50
"De 45 a 64 años (012)",2368,2065,127,83,93
"Hombres (013)",1548,1314,100,61,73
"Mujeres (014)",820,751,27,22,20
"De 65 y más años (015)",873,848,12,10,3
"Hombres (016)",578,560,9,8,1
"Mujeres (017)",295,288,3,2,2
,,,,,
"URBANA (018)",3608,2748,300,267,293
"Hombres (019)",2319,1734,203,171,211
"Mujeres (020)",1289,1014,97,96,82
"De 06 a 14 años (021)",76,70,4,2,
"Hombres (022)",55,51,2,2,
"Mujeres (023)",21,19,2,,
"De 15 a 29 años (024)",978,755,88,52,83
"Hombres (025)",630,475,59,32,64
"Mujeres (026)",348,280,29,20,19
"De 30 a 44 años (027)",1394,986,133,142,133
"Hombres (028)",884,615,92,88,89
"Mujeres (029)",510,371,41,54,44
"De 45 a 64 años (030)",875,666,69,64,76
"Hombres (031)",569,422,46,43,58
"Mujeres (032)",306,244,23,21,18
"De 65 y más años (033)",285,271,6,7,1
"Hombres (034)",181,171,4,6,
"Mujeres (035)",104,100,2,1,1
,,,,,
"RURAL (036)",5901,5412,287,127,75
"Hombres (037)",3808,3398,241,111,58
"Mujeres (038)",2093,2014,46,16,17
"De 06 a 14 años (039)",162,153,4,5,
"Hombres (040)",82,76,2,4,
"Mujeres (041)",80,77,2,1,
"De 15 a 29 años (042)",1817,1606,120,55,36
"Hombres (043)",1127,955,98,46,28
"Mujeres (044)",690,651,22,9,8
"De 30 a 44 años (045)",1841,1677,99,45,20
"Hombres (046)",1223,1086,82,41,14
"Mujeres (047)",618,591,17,4,6
"De 45 a 64 años (048)",1493,1399,58,19,17
"Hombres (049)",979,892,54,18,15
"Mujeres (050)",514,507,4,1,2
"De 65 y más años (051)",588,577,6,3,2
"Hombres (052)",397,389,5,2,1
"Mujeres (053)",191,188,1,1,1
