"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia YAROWILCA (000)",32339,594,13346,7047,4929,4383,2040
"Casa independiente (001)",32023,587,13234,6984,4874,4336,2008
"Vivienda en casa de vecindad (004)",11,,5,3,1,2,
"Choza o cabaña (005)",301,7,106,58,53,45,32
"Local no destinado para hab.humana (007)",4,,1,2,1,,
,,,,,,,
"URBANA (009)",7883,131,3052,1906,1357,1016,421
"Casa independiente (010)",7868,131,3046,1901,1355,1014,421
"Vivienda en casa de vecindad (013)",11,,5,3,1,2,
"Local no destinado para hab.humana (016)",4,,1,2,1,,
,,,,,,,
"RURAL (018)",24456,463,10294,5141,3572,3367,1619
"Casa independiente (019)",24155,456,10188,5083,3519,3322,1587
"Choza o cabaña (023)",301,7,106,58,53,45,32
