"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CAYLLOMA (000)",19483,74,309,1005,2030,4132,6838,5095
"De 12 a 14 años (001)",24,,,,,,2,22
"De 15 a 19 años (002)",495,,,,,,298,197
"De 20 a 24 años (003)",2197,,,,,4,1338,855
"De 25 a 29 años (004)",2738,,,,,130,1741,867
"De 30 a 34 años (005)",2560,,,,,490,1464,606
"De 35 a 39 años (006)",2335,,,,23,816,1073,423
"De 40 a 44 años (007)",2076,,,,156,963,621,336
"De 45 a 49 años (008)",1615,,,6,291,803,247,268
"De 50 y más años (009)",5443,74,309,999,1560,926,54,1521
"PEA (010)",10743,10,80,420,1076,2661,3798,2698
"De 12 a 14 años (011)",4,,,,,,1,3
"De 15 a 19 años (012)",189,,,,,,120,69
"De 20 a 24 años (013)",1183,,,,,2,706,475
"De 25 a 29 años (014)",1562,,,,,84,945,533
"De 30 a 34 años (015)",1543,,,,,324,849,370
"De 35 a 39 años (016)",1459,,,,16,555,618,270
"De 40 a 44 años (017)",1330,,,,103,653,366,208
"De 45 a 49 años (018)",1032,,,4,186,524,155,163
"De 50 y más años (019)",2441,10,80,416,771,519,38,607
"Ocupada (020)",10536,10,79,410,1061,2624,3726,2626
"De 12 a 14 años (021)",4,,,,,,1,3
"De 15 a 19 años (022)",184,,,,,,118,66
"De 20 a 24 años (023)",1152,,,,,2,688,462
"De 25 a 29 años (024)",1515,,,,,80,923,512
"De 30 a 34 años (025)",1521,,,,,323,838,360
"De 35 a 39 años (026)",1431,,,,16,543,611,261
"De 40 a 44 años (027)",1312,,,,101,646,359,206
"De 45 a 49 años (028)",1011,,,4,185,516,150,156
"De 50 y más años (029)",2406,10,79,406,759,514,38,600
"Desocupada (030)",207,,1,10,15,37,72,72
"De 15 a 19 años (032)",5,,,,,,2,3
"De 20 a 24 años (033)",31,,,,,,18,13
"De 25 a 29 años (034)",47,,,,,4,22,21
"De 30 a 34 años (035)",22,,,,,1,11,10
"De 35 a 39 años (036)",28,,,,,12,7,9
"De 40 a 44 años (037)",18,,,,2,7,7,2
"De 45 a 49 años (038)",21,,,,1,8,5,7
"De 50 y más años (039)",35,,1,10,12,5,,7
"No PEA (040)",8740,64,229,585,954,1471,3040,2397
"De 12 a 14 años (041)",20,,,,,,1,19
"De 15 a 19 años (042)",306,,,,,,178,128
"De 20 a 24 años (043)",1014,,,,,2,632,380
"De 25 a 29 años (044)",1176,,,,,46,796,334
"De 30 a 34 años (045)",1017,,,,,166,615,236
"De 35 a 39 años (046)",876,,,,7,261,455,153
"De 40 a 44 años (047)",746,,,,53,310,255,128
