"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CAMANA (000)",14099,199,4741,4613,1947,703,304,63,12,,1517
"Catolica (001)",12454,171,4095,4092,1764,654,277,55,12,,1334
"Cristiana / Evangelica (002)",858,17,348,260,90,21,14,4,,,104
"Otra (003)",584,10,212,201,73,17,12,4,,,55
"Ninguna (004)",203,1,86,60,20,11,1,,,,24
,,,,,,,,,,,
"URBANA (006)",12276,162,3996,4018,1761,646,273,58,12,,1350
"Catolica (007)",10830,136,3437,3573,1591,601,250,51,12,,1179
"Cristiana / Evangelica (008)",753,16,307,215,84,19,13,3,,,96
"Otra (009)",518,9,188,174,67,16,9,4,,,51
"Ninguna (010)",175,1,64,56,19,10,1,,,,24
,,,,,,,,,,,
"RURAL (012)",1823,37,745,595,186,57,31,5,,,167
"Catolica (013)",1624,35,658,519,173,53,27,4,,,155
"Cristiana / Evangelica (014)",105,1,41,45,6,2,1,1,,,8
"Otra (015)",66,1,24,27,6,1,3,,,,4
"Ninguna (016)",28,,22,4,1,1,,,,,
