"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CELENDIN (000)",43555,6433,13403,11696,12023
"Asiste actualmente (001)",25968,2022,12335,8596,3015
"No asiste (002)",17587,4411,1068,3100,9008
"Hombres (004)",21765,3212,6707,5974,5872
"Asiste actualmente (005)",13596,1027,6199,4664,1706
"No asiste (006)",8169,2185,508,1310,4166
"Mujeres (008)",21790,3221,6696,5722,6151
"Asiste actualmente (009)",12372,995,6136,3932,1309
"No asiste (010)",9418,2226,560,1790,4842
,,,,,
"URBANA (012)",10166,1294,2740,2774,3358
"Asiste actualmente (013)",7527,743,2649,2523,1612
"No asiste (014)",2639,551,91,251,1746
"Hombres (016)",5026,650,1378,1409,1589
"Asiste actualmente (017)",3804,388,1332,1290,794
"No asiste (018)",1222,262,46,119,795
"Mujeres (020)",5140,644,1362,1365,1769
"Asiste actualmente (021)",3723,355,1317,1233,818
"No asiste (022)",1417,289,45,132,951
,,,,,
"RURAL (024)",33389,5139,10663,8922,8665
"Asiste actualmente (025)",18441,1279,9686,6073,1403
"No asiste (026)",14948,3860,977,2849,7262
"Hombres (028)",16739,2562,5329,4565,4283
"Asiste actualmente (029)",9792,639,4867,3374,912
"No asiste (030)",6947,1923,462,1191,3371
"Mujeres (032)",16650,2577,5334,4357,4382
"Asiste actualmente (033)",8649,640,4819,2699,491
"No asiste (034)",8001,1937,515,1658,3891
