"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUANUCO (000)",236470,29444,3068,93408,65213,7161,8039,13106,17031
"Hombres (001)",115810,9277,1562,47573,34922,3532,3337,7014,8593
"Mujeres (002)",120660,20167,1506,45835,30291,3629,4702,6092,8438
"PEA (003)",95958,10885,128,29167,28035,3503,5707,5236,13297
"Hombres (004)",64923,6852,85,21924,20124,2233,2796,3497,7412
"Mujeres (005)",31035,4033,43,7243,7911,1270,2911,1739,5885
"Ocupada (006)",90485,10108,110,27943,26227,3324,5285,4945,12543
"Hombres (007)",61447,6375,74,21073,18821,2126,2613,3304,7061
"Mujeres (008)",29038,3733,36,6870,7406,1198,2672,1641,5482
"Desocupada (009)",5473,777,18,1224,1808,179,422,291,754
"Hombres (010)",3476,477,11,851,1303,107,183,193,351
"Mujeres (011)",1997,300,7,373,505,72,239,98,403
"No PEA (012)",140512,18559,2940,64241,37178,3658,2332,7870,3734
"Hombres (013)",50887,2425,1477,25649,14798,1299,541,3517,1181
"Mujeres (014)",89625,16134,1463,38592,22380,2359,1791,4353,2553
,,,,,,,,,
"URBANA (018)",144884,6868,1535,43297,49752,6600,7657,12644,16531
"Hombres (019)",69295,1464,791,20036,25573,3208,3161,6739,8323
"Mujeres (020)",75589,5404,744,23261,24179,3392,4496,5905,8208
"PEA (021)",61784,2295,44,11299,21456,3260,5471,5060,12899
"Hombres (022)",37280,794,24,6729,14520,2033,2652,3359,7169
"Mujeres (023)",24504,1501,20,4570,6936,1227,2819,1701,5730
"Ocupada (024)",58112,2171,37,10704,20075,3097,5076,4781,12171
"Hombres (025)",35067,731,21,6313,13565,1942,2483,3175,6837
"Mujeres (026)",23045,1440,16,4391,6510,1155,2593,1606,5334
"Desocupada (027)",3672,124,7,595,1381,163,395,279,728
"Hombres (028)",2213,63,3,416,955,91,169,184,332
"Mujeres (029)",1459,61,4,179,426,72,226,95,396
"No PEA (030)",83100,4573,1491,31998,28296,3340,2186,7584,3632
"Hombres (031)",32015,670,767,13307,11053,1175,509,3380,1154
"Mujeres (032)",51085,3903,724,18691,17243,2165,1677,4204,2478
,,,,,,,,,
"RURAL (036)",91586,22576,1533,50111,15461,561,382,462,500
"Hombres (037)",46515,7813,771,27537,9349,324,176,275,270
"Mujeres (038)",45071,14763,762,22574,6112,237,206,187,230
"PEA (039)",34174,8590,84,17868,6579,243,236,176,398
"Hombres (040)",27643,6058,61,15195,5604,200,144,138,243
"Mujeres (041)",6531,2532,23,2673,975,43,92,38,155
"Ocupada (042)",32373,7937,73,17239,6152,227,209,164,372
"Hombres (043)",26380,5644,53,14760,5256,184,130,129,224
"Mujeres (044)",5993,2293,20,2479,896,43,79,35,148
"Desocupada (045)",1801,653,11,629,427,16,27,12,26
"Hombres (046)",1263,414,8,435,348,16,14,9,19
"Mujeres (047)",538,239,3,194,79,,13,3,7
"No PEA (048)",57412,13986,1449,32243,8882,318,146,286,102
"Hombres (049)",18872,1755,710,12342,3745,124,32,137,27
"Mujeres (050)",38540,12231,739,19901,5137,194,114,149,75
