"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CHACHAPOYAS (000)",24178,13174,520,261,9307,208,48,75,1,584
"Hombres (001)",8725,6509,331,135,1246,108,32,21,1,342
"Mujeres (002)",15453,6665,189,126,8061,100,16,54,,242
"De 06 a 14 años (003)",9410,9128,,,148,36,4,13,,81
"Hombres (004)",4663,4571,,,31,20,1,4,,36
"Mujeres (005)",4747,4557,,,117,16,3,9,,45
"De 15 a 29 años (006)",6853,3939,2,29,2701,,24,13,1,144
"Hombres (007)",2396,1898,1,15,379,,14,5,1,83
"Mujeres (008)",4457,2041,1,14,2322,,10,8,,61
"De 30 a 44 años (009)",2980,78,12,38,2732,,13,10,,97
"Hombres (010)",487,34,10,19,356,,11,3,,54
"Mujeres (011)",2493,44,2,19,2376,,2,7,,43
"De 45 a 64 años (012)",2708,24,229,76,2258,,5,16,,100
"Hombres (013)",527,5,140,37,265,,4,3,,73
"Mujeres (014)",2181,19,89,39,1993,,1,13,,27
"De 65 y más años (015)",2227,5,277,118,1468,172,2,23,,162
"Hombres (016)",652,1,180,64,215,88,2,6,,96
"Mujeres (017)",1575,4,97,54,1253,84,,17,,66
,,,,,,,,,,
"AREA URBANA (018)",16960,9646,491,218,6027,141,26,48,1,362
"Hombres (019)",6405,4641,311,107,1021,71,15,13,1,225
"Mujeres (020)",10555,5005,180,111,5006,70,11,35,,137
"De 06 a 14 años (021)",6292,6169,,,60,12,1,7,,43
"Hombres (022)",3068,3022,,,14,4,,2,,26
"Mujeres (023)",3224,3147,,,46,8,1,5,,17
"De 15 a 29 años (024)",5208,3383,2,25,1681,,17,6,1,93
"Hombres (025)",1987,1583,1,15,321,,9,3,1,54
"Mujeres (026)",3221,1800,1,10,1360,,8,3,,39
"De 30 a 44 años (027)",1986,70,11,29,1800,,4,7,,65
"Hombres (028)",397,30,9,11,304,,3,3,,37
"Mujeres (029)",1589,40,2,18,1496,,1,4,,28
"De 45 a 64 años (030)",1883,19,216,66,1499,,3,13,,67
"Hombres (031)",440,5,131,31,215,,2,2,,54
"Mujeres (032)",1443,14,85,35,1284,,1,11,,13
"De 65 y más años (033)",1591,5,262,98,987,129,1,15,,94
"Hombres (034)",513,1,170,50,167,67,1,3,,54
"Mujeres (035)",1078,4,92,48,820,62,,12,,40
,,,,,,,,,,
"AREA RURAL (036)",7218,3528,29,43,3280,67,22,27,,222
"Hombres (037)",2320,1868,20,28,225,37,17,8,,117
"Mujeres (038)",4898,1660,9,15,3055,30,5,19,,105
"De 06 a 14 años (039)",3118,2959,,,88,24,3,6,,38
"Hombres (040)",1595,1549,,,17,16,1,2,,10
"Mujeres (041)",1523,1410,,,71,8,2,4,,28
"De 15 a 29 años (042)",1645,556,,4,1020,,7,7,,51
"Hombres (043)",409,315,,,58,,5,2,,29
"Mujeres (044)",1236,241,,4,962,,2,5,,22
"De 30 a 44 años (045)",994,8,1,9,932,,9,3,,32
"Hombres (046)",90,4,1,8,52,,8,,,17
"Mujeres (047)",904,4,,1,880,,1,3,,15
"De 45 a 64 años (048)",825,5,13,10,759,,2,3,,33
"Hombres (049)",87,,9,6,50,,2,1,,19
"Mujeres (050)",738,5,4,4,709,,,2,,14
"De 65 y más años (051)",636,,15,20,481,43,1,8,,68
"Hombres (052)",139,,10,14,48,21,1,3,,42
"Mujeres (053)",497,,5,6,433,22,,5,,26
