"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAMBAYEQUE (000)",224313,63374,22701,8663,129897
"Hombres (001)",110991,27955,11021,4934,67275
"Mujeres (002)",113322,35419,11680,3729,62622
"PEA (003)",83738,12837,9534,3717,57812
"Hombres (004)",63744,9333,6020,2752,45763
"Mujeres (005)",19994,3504,3514,965,12049
"Ocupada (006)",78453,11992,9319,3597,53706
"Hombres (007)",59673,8729,5869,2661,42538
"Mujeres (008)",18780,3263,3450,936,11168
"Desocupada (009)",5285,845,215,120,4106
"Hombres (010)",4071,604,151,91,3225
"Mujeres (011)",1214,241,64,29,881
"No PEA (012)",140575,50537,13167,4946,72085
"Hombres (013)",47247,18622,5001,2182,21512
"Mujeres (014)",93328,31915,8166,2764,50573
,,,,,
"URBANA (018)",110154,23411,18253,7350,61410
"Hombres (019)",52933,10003,8586,4116,30395
"Mujeres (020)",57221,13408,9667,3234,31015
"PEA (021)",43159,4973,7855,3124,27350
"Hombres (022)",28946,3021,4629,2230,19173
"Mujeres (023)",14213,1952,3226,894,8177
"Ocupada (024)",40458,4644,7676,3027,25254
"Hombres (025)",26980,2815,4506,2157,17609
"Mujeres (026)",13478,1829,3170,870,7645
"Desocupada (027)",2701,329,179,97,2096
"Hombres (028)",1966,206,123,73,1564
"Mujeres (029)",735,123,56,24,532
"No PEA (030)",66995,18438,10398,4226,34060
"Hombres (031)",23987,6982,3957,1886,11222
"Mujeres (032)",43008,11456,6441,2340,22838
,,,,,
"RURAL (036)",114159,39963,4448,1313,68487
"Hombres (037)",58058,17952,2435,818,36880
"Mujeres (038)",56101,22011,2013,495,31607
"PEA (039)",40579,7864,1679,593,30462
"Hombres (040)",34798,6312,1391,522,26590
"Mujeres (041)",5781,1552,288,71,3872
"Ocupada (042)",37995,7348,1643,570,28452
"Hombres (043)",32693,5914,1363,504,24929
"Mujeres (044)",5302,1434,280,66,3523
"Desocupada (045)",2584,516,36,23,2010
"Hombres (046)",2105,398,28,18,1661
"Mujeres (047)",479,118,8,5,349
"No PEA (048)",73580,32099,2769,720,38025
"Hombres (049)",23260,11640,1044,296,10290
"Mujeres (050)",50320,20459,1725,424,27735
