"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia OXAPAMPA",,,,,,,
"Viviendas particulares (001)",19105,2791,427,463,12912,1672,840
"Ocupantes presentes (002)",79447,9886,1992,2010,55353,6677,3529
"Casa independiente",,,,,,,
"Viviendas particulares (004)",14004,1990,243,400,9631,1150,590
"Ocupantes presentes (005)",58301,7372,1072,1777,41171,4466,2443
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",62,47,,,12,2,1
"Ocupantes presentes (008)",178,126,,,48,3,1
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",377,303,,3,62,5,4
"Ocupantes presentes (011)",1242,968,,9,241,13,11
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",349,274,,6,50,7,12
"Ocupantes presentes (014)",1142,784,,22,251,25,60
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",4149,117,182,47,3121,461,221
"Ocupantes presentes (017)",17996,433,907,175,13516,2006,959
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",89,26,2,2,24,24,11
"Ocupantes presentes (020)",350,103,13,13,82,85,54
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",47,19,,,6,22,
"Ocupantes presentes (023)",162,61,,,26,75,
"Otro tipo",,,,,,,
"Viviendas particulares (025)",28,15,,5,6,1,1
"Ocupantes presentes (026)",76,39,,14,18,4,1
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",7036,2171,104,323,3971,239,228
"Ocupantes presentes (029)",28409,7561,468,1459,17124,878,919
"Casa independiente",,,,,,,
"Viviendas particulares (031)",6114,1491,102,308,3819,195,199
"Ocupantes presentes (032)",25363,5496,455,1405,16483,732,792
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",62,47,,,12,2,1
"Ocupantes presentes (035)",178,126,,,48,3,1
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",377,303,,3,62,5,4
"Ocupantes presentes (038)",1242,968,,9,241,13,11
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",349,274,,6,50,7,12
"Ocupantes presentes (041)",1142,784,,22,251,25,60
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",89,26,2,2,24,24,11
"Ocupantes presentes (047)",350,103,13,13,82,85,54
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",25,17,,,2,6,
"Ocupantes presentes (050)",80,51,,,9,20,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",20,13,,4,2,,1
"Ocupantes presentes (053)",54,33,,10,10,,1
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",12069,620,323,140,8941,1433,612
"Ocupantes presentes (056)",51038,2325,1524,551,38229,5799,2610
"Casa independiente",,,,,,,
"Viviendas particulares (058)",7890,499,141,92,5812,955,391
"Ocupantes presentes (059)",32938,1876,617,372,24688,3734,1651
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",4149,117,182,47,3121,461,221
"Ocupantes presentes (071)",17996,433,907,175,13516,2006,959
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",22,2,,,4,16,
"Ocupantes presentes (077)",82,10,,,17,55,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",8,2,,1,4,1,
"Ocupantes presentes (080)",22,6,,4,8,4,
