"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ISLAY (000)",21271,13331,3216,2769,1955
"Sin nivel (001)",838,567,153,101,17
"Educación inicial (002)",23,19,1,1,2
"Primaria (003)",3793,2606,680,400,107
"Secundaria (004)",7761,4984,1302,938,537
"Superior no univ. incompleta (005)",1950,1267,251,221,211
"Superior no univ. completa (006)",3433,1848,435,552,598
"Superior univ. incompleta (007)",917,531,138,137,111
"Superior univ. completa (008)",2556,1509,256,419,372
"De 06 a 14 años (010)",138,105,26,6,1
"Sin nivel (011)",1,,1,,
"Educación inicial (012)",5,5,,,
"Primaria (013)",62,47,13,2,
"Secundaria (014)",70,53,12,4,1
"De 15 a 29 años (020)",5648,3291,1097,818,442
"Sin nivel (021)",35,18,11,6,
"Educación inicial (022)",13,11,,,2
"Primaria (023)",391,201,106,78,6
"Secundaria (024)",2687,1597,571,387,132
"Superior no univ. incompleta (025)",803,491,132,106,74
"Superior no univ. completa (026)",1071,624,164,129,154
"Superior univ. incompleta (027)",267,158,52,46,11
"Superior univ. completa (028)",381,191,61,66,63
"De 30 a 44 años (030)",8021,4674,1246,1242,859
"Sin nivel (031)",275,165,63,41,6
"Educación inicial (032)",5,3,1,1,
"Primaria (033)",1202,761,254,167,20
"Secundaria (034)",2892,1854,467,350,221
"Superior no univ. incompleta (035)",706,458,84,83,81
"Superior no univ. completa (036)",1647,833,197,326,291
"Superior univ. incompleta (037)",370,198,62,54,56
"Superior univ. completa (038)",924,402,118,220,184
"De 45 a 64 años (040)",6110,4079,754,653,624
"Sin nivel (041)",393,271,65,48,9
"Primaria (043)",1645,1169,268,135,73
"Secundaria (044)",1911,1319,231,183,178
"Superior no univ. incompleta (045)",388,274,32,30,52
"Superior no univ. completa (046)",666,352,71,93,150
"Superior univ. incompleta (047)",248,153,19,34,42
"Superior univ. completa (048)",859,541,68,130,120
"De 65 y más años (050)",1354,1182,93,50,29
"Sin nivel (051)",134,113,13,6,2
"Primaria (053)",493,428,39,18,8
"Secundaria (054)",201,161,21,14,5
"Superior no univ. incompleta (055)",53,44,3,2,4
"Superior no univ. completa (056)",49,39,3,4,3
"Superior univ. incompleta (057)",32,22,5,3,2
"Superior univ. completa (058)",392,375,9,3,5
,,,,,
