"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia SAN IGNACIO",,,,,,,,,
"Viviendas particulares (001)",29121,1687,20777,2269,3757,54,436,21,120
"Ocupantes presentes (002)",130377,6751,94373,10390,16078,216,1987,76,506
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",28081,1519,20437,2117,3469,45,385,18,91
"Ocupantes presentes (005)",126300,6204,93115,9696,14878,189,1755,66,397
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",24,16,8,,,,,,
"Ocupantes presentes (008)",89,50,39,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",180,60,120,,,,,,
"Ocupantes presentes (011)",663,195,468,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",264,86,175,2,1,,,,
"Ocupantes presentes (014)",895,287,600,5,3,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",535,,25,142,286,8,51,2,21
"Ocupantes presentes (017)",2314,,108,665,1189,24,232,9,87
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",8,,,5,,1,,,2
"Ocupantes presentes (020)",31,,,19,,3,,,9
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",23,6,12,3,1,,,1,
"Ocupantes presentes (023)",72,15,43,5,8,,,1,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",6,,,,,,,,6
"Ocupantes presentes (026)",13,,,,,,,,13
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",4801,1198,3450,44,81,3,13,3,9
"Ocupantes presentes (029)",19777,4633,14542,160,340,14,49,9,30
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",4315,1033,3143,37,80,2,13,3,4
"Ocupantes presentes (032)",18070,4096,13415,136,337,11,49,9,17
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",24,16,8,,,,,,
"Ocupantes presentes (035)",89,50,39,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",180,60,120,,,,,,
"Ocupantes presentes (038)",663,195,468,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",264,86,175,2,1,,,,
"Ocupantes presentes (041)",895,287,600,5,3,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",8,,,5,,1,,,2
"Ocupantes presentes (047)",31,,,19,,3,,,9
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,3,4,,,,,,
"Ocupantes presentes (050)",25,5,20,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",3,,,,,,,,3
"Ocupantes presentes (053)",4,,,,,,,,4
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",24320,489,17327,2225,3676,51,423,18,111
"Ocupantes presentes (056)",110600,2118,79831,10230,15738,202,1938,67,476
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",23766,486,17294,2080,3389,43,372,15,87
"Ocupantes presentes (059)",108230,2108,79700,9560,14541,178,1706,57,380
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",535,,25,142,286,8,51,2,21
"Ocupantes presentes (071)",2314,,108,665,1189,24,232,9,87
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",16,3,8,3,1,,,1,
"Ocupantes presentes (077)",47,10,23,5,8,,,1,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",3,,,,,,,,3
"Ocupantes presentes (080)",9,,,,,,,,9
