"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia AIJA (000)",6894,1668,1742,1343,1232,909
"Sin nivel (001)",619,29,52,130,171,237
"Educación inicial (002)",114,110,2,2,,
"Primaria (003)",3174,1263,352,474,606,479
"Secundaria (004)",1965,266,1011,363,239,86
"Superior no univ. incompleta (005)",343,,142,102,65,34
"Superior no univ. completa (006)",403,,109,172,81,41
"Superior univ. incompleta (007)",92,,49,26,11,6
"Superior univ. completa (008)",184,,25,74,59,26
"PEA (010)",2348,67,672,752,608,249
"Sin nivel (011)",138,5,8,41,47,37
"Educación inicial (012)",2,,1,1,,
"Primaria (013)",819,46,144,209,277,143
"Secundaria (014)",748,16,350,221,134,27
"Superior no univ. incompleta (015)",193,,62,71,46,14
"Superior no univ. completa (016)",269,,69,132,54,14
"Superior univ. incompleta (017)",49,,20,18,7,4
"Superior univ. completa (018)",130,,18,59,43,10
"Ocupada (020)",2181,65,596,702,580,238
"Sin nivel (021)",131,4,7,38,45,37
"Educación inicial (022)",2,,1,1,,
"Primaria (023)",761,45,128,192,261,135
"Secundaria (024)",685,16,311,202,130,26
"Superior no univ. incompleta (025)",181,,55,67,45,14
"Superior no univ. completa (026)",252,,61,126,52,13
"Superior univ. incompleta (027)",44,,17,17,6,4
"Superior univ. completa (028)",125,,16,59,41,9
"Desocupada (030)",167,2,76,50,28,11
"Sin nivel (031)",7,1,1,3,2,
"Primaria (033)",58,1,16,17,16,8
"Secundaria (034)",63,,39,19,4,1
