"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",11565,9352,2213
"De 3 a 5 años (001)",1637,51,1586
"De 6 a 11 años (002)",3407,2938,469
"De 12 a 16 años (003)",3182,3114,68
"De 17 a 24 años (004)",3339,3249,90
"Hombres (005)",6071,4922,1149
"De 3 a 5 años (006)",843,23,820
"De 6 a 11 años (007)",1727,1480,247
"De 12 a 16 años (008)",1670,1631,39
"De 17 a 24 años (009)",1831,1788,43
"Mujeres (010)",5494,4430,1064
"De 3 a 5 años (011)",794,28,766
"De 6 a 11 años (012)",1680,1458,222
"De 12 a 16 años (013)",1512,1483,29
"De 17 a 24 años (014)",1508,1461,47
,,,
"URBANA (015)",3531,2998,533
"De 3 a 5 años (016)",458,29,429
"De 6 a 11 años (017)",990,908,82
"De 12 a 16 años (018)",1140,1131,9
"De 17 a 24 años (019)",943,930,13
"Hombres (020)",1794,1500,294
"De 3 a 5 años (021)",253,15,238
"De 6 a 11 años (022)",491,447,44
"De 12 a 16 años (023)",579,575,4
"De 17 a 24 años (024)",471,463,8
"Mujeres (025)",1737,1498,239
"De 3 a 5 años (026)",205,14,191
"De 6 a 11 años (027)",499,461,38
"De 12 a 16 años (028)",561,556,5
"De 17 a 24 años (029)",472,467,5
,,,
"RURAL (030)",8034,6354,1680
"De 3 a 5 años (031)",1179,22,1157
"De 6 a 11 años (032)",2417,2030,387
"De 12 a 16 años (033)",2042,1983,59
"De 17 a 24 años (034)",2396,2319,77
"Hombres (035)",4277,3422,855
"De 3 a 5 años (036)",590,8,582
"De 6 a 11 años (037)",1236,1033,203
"De 12 a 16 años (038)",1091,1056,35
"De 17 a 24 años (039)",1360,1325,35
"Mujeres (040)",3757,2932,825
"De 3 a 5 años (041)",589,14,575
"De 6 a 11 años (042)",1181,997,184
"De 12 a 16 años (043)",951,927,24
"De 17 a 24 años (044)",1036,994,42
