"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia DANIEL ALCIDES CARRION",,,,,
"Viviendas particulares (001)",490,218,73,104,95
"Ocupantes presentes (002)",2326,1039,329,515,443
"Casa independiente",,,,,
"Viviendas particulares (004)",469,214,66,98,91
"Ocupantes presentes (005)",2242,1033,303,481,425
"Departamento en edificio",,,,,
"Viviendas particulares (007)",3,2,,1,
"Ocupantes presentes (008)",3,2,,1,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",11,1,6,2,2
"Ocupantes presentes (011)",39,3,23,11,2
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",6,1,1,3,1
"Ocupantes presentes (014)",32,1,3,22,6
"Choza o cabaña",,,,,
"Viviendas particulares (016)",1,,,,1
"Ocupantes presentes (017)",10,,,,10
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",389,180,56,93,60
"Ocupantes presentes (029)",1888,873,244,472,299
"Casa independiente",,,,,
"Viviendas particulares (031)",369,176,49,87,57
"Ocupantes presentes (032)",1814,867,218,438,291
"Departamento en edificio",,,,,
"Viviendas particulares (034)",3,2,,1,
"Ocupantes presentes (035)",3,2,,1,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",11,1,6,2,2
"Ocupantes presentes (038)",39,3,23,11,2
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",6,1,1,3,1
"Ocupantes presentes (041)",32,1,3,22,6
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",101,38,17,11,35
"Ocupantes presentes (056)",438,166,85,43,144
"Casa independiente",,,,,
"Viviendas particulares (058)",100,38,17,11,34
"Ocupantes presentes (059)",428,166,85,43,134
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",1,,,,1
"Ocupantes presentes (071)",10,,,,10
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
