"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TAYACAJA (000)",104406,1848,40771,24617,17223,13601,6346
"Jefe o Jefa (001)",25935,,51,4645,8756,8238,4245
"Esposa(o) / compañera(o) (002)",16929,,51,4735,6372,4547,1224
"Hijo(a) / hijastro(a) (003)",51314,1448,35542,12723,1369,225,7
"Yerno / nuera (004)",718,,17,552,128,18,3
"Nieto(a) (005)",3408,271,2729,392,14,2,
"Padres / suegros (006)",804,,,1,11,193,599
"Otro(a) pariente (007)",4562,119,2265,1227,437,287,227
"Trabajador(a) del hogar (008)",52,,8,30,4,5,5
"Pensionistas (009)",28,,2,15,7,4,
"Otro(a) no pariente (010)",656,10,106,297,125,82,36
"Hombres (011)",51618,924,20686,12183,8351,6592,2882
"Jefe o Jefa (012)",19223,,21,3681,6968,6022,2531
"Esposa(o) / compañera(o) (013)",906,,34,277,309,214,72
"Hijo(a) / hijastro(a) (014)",26438,733,17972,6930,689,111,3
"Yerno / nuera (015)",294,,10,194,77,12,1
"Nieto(a) (016)",1792,134,1429,221,7,1,
"Padres / suegros (017)",219,,,1,5,56,157
"Otro(a) pariente (018)",2325,53,1155,680,217,122,98
"Trabajador(a) del hogar (019)",16,,5,5,2,1,3
"Pensionistas (020)",17,,1,10,5,1,
"Otro(a) no pariente (021)",388,4,59,184,72,52,17
"Mujeres (022)",52788,924,20085,12434,8872,7009,3464
"Jefe o Jefa (023)",6712,,30,964,1788,2216,1714
"Esposa(o) / compañera(o) (024)",16023,,17,4458,6063,4333,1152
"Hijo(a) / hijastro(a) (025)",24876,715,17570,5793,680,114,4
"Yerno / nuera (026)",424,,7,358,51,6,2
"Nieto(a) (027)",1616,137,1300,171,7,1,
"Padres / suegros (028)",585,,,,6,137,442
"Otro(a) pariente (029)",2237,66,1110,547,220,165,129
"Trabajador(a) del hogar (030)",36,,3,25,2,4,2
"Pensionistas (031)",11,,1,5,2,3,
"Otro(a) no pariente (032)",268,6,47,113,53,30,19
,,,,,,,
"URBANA (033)",25197,408,9020,6124,4624,3400,1621
"Jefe o Jefa (034)",6521,,18,1051,2306,2094,1052
"Esposa(o) / compañera(o) (035)",3855,,15,900,1605,1026,309
"Hijo(a) / hijastro(a) (036)",11662,303,7637,3247,411,62,2
"Yerno / nuera (037)",202,,4,140,46,10,2
"Nieto(a) (038)",840,70,679,85,6,,
"Padres / suegros (039)",258,,,,3,65,190
"Otro(a) pariente (040)",1416,31,600,466,169,94,56
"Trabajador(a) del hogar (041)",38,,7,25,3,2,1
"Pensionistas (042)",22,,1,12,6,3,
"Otro(a) no pariente (043)",383,4,59,198,69,44,9
"Hombres (044)",12339,231,4567,3014,2168,1638,721
"Jefe o Jefa (045)",4515,,7,729,1701,1457,621
"Esposa(o) / compañera(o) (046)",290,,10,94,98,62,26
"Hijo(a) / hijastro(a) (047)",5953,176,3852,1694,201,28,2
"Yerno / nuera (048)",97,,2,62,28,5,
"Nieto(a) (049)",437,42,349,44,2,,
"Padres / suegros (050)",74,,,,2,23,49
"Otro(a) pariente (051)",720,13,307,257,88,36,19
"Trabajador(a) del hogar (052)",11,,4,4,2,,1
"Pensionistas (053)",14,,1,8,4,1,
"Otro(a) no pariente (054)",228,,35,122,42,26,3
"Mujeres (055)",12858,177,4453,3110,2456,1762,900
"Jefe o Jefa (056)",2006,,11,322,605,637,431
"Esposa(o) / compañera(o) (057)",3565,,5,806,1507,964,283
"Hijo(a) / hijastro(a) (058)",5709,127,3785,1553,210,34,
"Yerno / nuera (059)",105,,2,78,18,5,2
"Nieto(a) (060)",403,28,330,41,4,,
"Padres / suegros (061)",184,,,,1,42,141
"Otro(a) pariente (062)",696,18,293,209,81,58,37
"Trabajador(a) del hogar (063)",27,,3,21,1,2,
"Pensionistas (064)",8,,,4,2,2,
"Otro(a) no pariente (065)",155,4,24,76,27,18,6
,,,,,,,
"RURAL (066)",79209,1440,31751,18493,12599,10201,4725
"Jefe o Jefa (067)",19414,,33,3594,6450,6144,3193
"Esposa(o) / compañera(o) (068)",13074,,36,3835,4767,3521,915
"Hijo(a) / hijastro(a) (069)",39652,1145,27905,9476,958,163,5
"Yerno / nuera (070)",516,,13,412,82,8,1
"Nieto(a) (071)",2568,201,2050,307,8,2,
"Padres / suegros (072)",546,,,1,8,128,409
"Otro(a) pariente (073)",3146,88,1665,761,268,193,171
"Trabajador(a) del hogar (074)",14,,1,5,1,3,4
"Pensionistas (075)",6,,1,3,1,1,
"Otro(a) no pariente (076)",273,6,47,99,56,38,27
"Hombres (077)",39279,693,16119,9169,6183,4954,2161
"Jefe o Jefa (078)",14708,,14,2952,5267,4565,1910
"Esposa(o) / compañera(o) (079)",616,,24,183,211,152,46
"Hijo(a) / hijastro(a) (080)",20485,557,14120,5236,488,83,1
"Yerno / nuera (081)",197,,8,132,49,7,1
"Nieto(a) (082)",1355,92,1080,177,5,1,
"Padres / suegros (083)",145,,,1,3,33,108
"Otro(a) pariente (084)",1605,40,848,423,129,86,79
"Trabajador(a) del hogar (085)",5,,1,1,,1,2
"Pensionistas (086)",3,,,2,1,,
"Otro(a) no pariente (087)",160,4,24,62,30,26,14
"Mujeres (088)",39930,747,15632,9324,6416,5247,2564
"Jefe o Jefa (089)",4706,,19,642,1183,1579,1283
"Esposa(o) / compañera(o) (090)",12458,,12,3652,4556,3369,869
"Hijo(a) / hijastro(a) (091)",19167,588,13785,4240,470,80,4
"Yerno / nuera (092)",319,,5,280,33,1,
"Nieto(a) (093)",1213,109,970,130,3,1,
"Padres / suegros (094)",401,,,,5,95,301
"Otro(a) pariente (095)",1541,48,817,338,139,107,92
"Trabajador(a) del hogar (096)",9,,,4,1,2,2
