"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia BELLAVISTA (000)",28000,25447,2553
"Hombres (001)",15280,14161,1119
"Mujeres (002)",12720,11286,1434
"De 18 a 29 años (003)",9924,8461,1463
"Hombres (004)",5188,4450,738
"Mujeres (005)",4736,4011,725
"De 30 a 44 años (006)",10021,9579,442
"Hombres (007)",5599,5415,184
"Mujeres (008)",4422,4164,258
"De 45 a 64 años (009)",6023,5724,299
"Hombres (010)",3453,3343,110
"Mujeres (011)",2570,2381,189
"De 65 y más años (012)",2032,1683,349
"Hombres (013)",1040,953,87
"Mujeres (014)",992,730,262
,,,
"URBANA (015)",16066,15032,1034
"Hombres (016)",8510,8056,454
"Mujeres (017)",7556,6976,580
"De 18 a 29 años (018)",5251,4670,581
"Hombres (019)",2668,2352,316
"Mujeres (020)",2583,2318,265
"De 30 a 44 años (021)",5883,5731,152
"Hombres (022)",3169,3108,61
"Mujeres (023)",2714,2623,91
"De 45 a 64 años (024)",3650,3539,111
"Hombres (025)",2046,2012,34
"Mujeres (026)",1604,1527,77
"De 65 y más años (027)",1282,1092,190
"Hombres (028)",627,584,43
"Mujeres (029)",655,508,147
,,,
"RURAL (030)",11934,10415,1519
"Hombres (031)",6770,6105,665
"Mujeres (032)",5164,4310,854
"De 18 a 29 años (033)",4673,3791,882
"Hombres (034)",2520,2098,422
"Mujeres (035)",2153,1693,460
"De 30 a 44 años (036)",4138,3848,290
"Hombres (037)",2430,2307,123
"Mujeres (038)",1708,1541,167
"De 45 a 64 años (039)",2373,2185,188
"Hombres (040)",1407,1331,76
"Mujeres (041)",966,854,112
"De 65 y más años (042)",750,591,159
"Hombres (043)",413,369,44
"Mujeres (044)",337,222,115
