"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SULLANA (000)",124793,18025,33091,31523,42154
"Asiste actualmente (001)",82403,11232,31681,26772,12718
"No asiste (002)",42390,6793,1410,4751,29436
"Hombres (004)",62659,9279,16736,15822,20822
"Asiste actualmente (005)",41243,5720,16023,13434,6066
"No asiste (006)",21416,3559,713,2388,14756
"Mujeres (008)",62134,8746,16355,15701,21332
"Asiste actualmente (009)",41160,5512,15658,13338,6652
"No asiste (010)",20974,3234,697,2363,14680
,,,,,
"URBANA (012)",111531,16191,29601,28009,37730
"Asiste actualmente (013)",75346,10513,28426,24319,12088
"No asiste (014)",36185,5678,1175,3690,25642
"Hombres (016)",55747,8347,14931,14061,18408
"Asiste actualmente (017)",37634,5370,14335,12197,5732
"No asiste (018)",18113,2977,596,1864,12676
"Mujeres (020)",55784,7844,14670,13948,19322
"Asiste actualmente (021)",37712,5143,14091,12122,6356
"No asiste (022)",18072,2701,579,1826,12966
,,,,,
"RURAL (024)",13262,1834,3490,3514,4424
"Asiste actualmente (025)",7057,719,3255,2453,630
"No asiste (026)",6205,1115,235,1061,3794
"Hombres (028)",6912,932,1805,1761,2414
"Asiste actualmente (029)",3609,350,1688,1237,334
"No asiste (030)",3303,582,117,524,2080
"Mujeres (032)",6350,902,1685,1753,2010
"Asiste actualmente (033)",3448,369,1567,1216,296
"No asiste (034)",2902,533,118,537,1714
