"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PALPA (000)",11461,2160,3381,2566,2171,1183
"Sin nivel (001)",527,20,39,54,163,251
"Educación inicial (002)",113,110,3,,,
"Primaria (003)",3572,1498,228,416,737,693
"Secundaria (004)",4757,532,2024,1239,787,175
"Superior no univ. incompleta (005)",697,,450,173,66,8
"Superior no univ. completa (006)",829,,325,343,145,16
"Superior univ. incompleta (007)",362,,197,87,74,4
"Superior univ. completa (008)",604,,115,254,199,36
"PEA (010)",5347,91,1683,1834,1416,323
"Sin nivel (011)",153,1,14,30,66,42
"Primaria (013)",1105,53,124,277,449,202
"Secundaria (014)",2475,37,982,872,534,50
"Superior no univ. incompleta (015)",350,,189,111,45,5
"Superior no univ. completa (016)",597,,220,266,104,7
"Superior univ. incompleta (017)",198,,69,68,58,3
"Superior univ. completa (018)",469,,85,210,160,14
"Ocupada (020)",5170,89,1589,1798,1378,316
"Sin nivel (021)",148,1,13,29,66,39
"Primaria (023)",1073,53,118,274,430,198
"Secundaria (024)",2386,35,929,853,519,50
"Superior no univ. incompleta (025)",340,,183,109,43,5
"Superior no univ. completa (026)",572,,207,256,102,7
"Superior univ. incompleta (027)",190,,61,68,58,3
"Superior univ. completa (028)",461,,78,209,160,14
"Desocupada (030)",177,2,94,36,38,7
"Sin nivel (031)",5,,1,1,,3
"Primaria (033)",32,,6,3,19,4
"Secundaria (034)",89,2,53,19,15,
"Superior no univ. incompleta (035)",10,,6,2,2,
