"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia LA CONVENCION (000)",78084,11656,23850,19184,23394
"Asiste actualmente (001)",47669,3487,21676,16472,6034
"No asiste (002)",30415,8169,2174,2712,17360
"Hombres (004)",40590,5941,12100,10001,12548
"Asiste actualmente (005)",24724,1745,10964,8587,3428
"No asiste (006)",15866,4196,1136,1414,9120
"Mujeres (008)",37494,5715,11750,9183,10846
"Asiste actualmente (009)",22945,1742,10712,7885,2606
"No asiste (010)",14549,3973,1038,1298,8240
,,,,,
"URBANA (012)",23474,2910,6690,6487,7387
"Asiste actualmente (013)",16552,1205,6393,6053,2901
"No asiste (014)",6922,1705,297,434,4486
"Hombres (016)",11799,1504,3373,3224,3698
"Asiste actualmente (017)",8283,617,3200,3004,1462
"No asiste (018)",3516,887,173,220,2236
"Mujeres (020)",11675,1406,3317,3263,3689
"Asiste actualmente (021)",8269,588,3193,3049,1439
"No asiste (022)",3406,818,124,214,2250
,,,,,
"RURAL (024)",54610,8746,17160,12697,16007
"Asiste actualmente (025)",31117,2282,15283,10419,3133
"No asiste (026)",23493,6464,1877,2278,12874
"Hombres (028)",28791,4437,8727,6777,8850
"Asiste actualmente (029)",16441,1128,7764,5583,1966
"No asiste (030)",12350,3309,963,1194,6884
"Mujeres (032)",25819,4309,8433,5920,7157
"Asiste actualmente (033)",14676,1154,7519,4836,1167
"No asiste (034)",11143,3155,914,1084,5990
