"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANAS (000)",9629,79,2515,3376,2763,896
"Agric., ganadería, caza y silvicultura (001)",6387,45,1419,2061,2067,795
"Pesca (002)",4,,2,1,1,
"Explotación de minas y canteras (003)",19,,7,8,3,1
"Industrias manufactureras (004)",334,4,102,122,87,19
"Suministro de electricidad, gas y agua (005)",16,,8,5,3,
"Construcción (006)",618,,181,278,148,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",404,9,111,187,83,14
"Venta, mant.y rep. veh.autom.y motoc. (008)",19,,12,7,,
"Comercio al por mayor (009)",13,,6,6,1,
"Comercio al por menor (010)",372,9,93,174,82,14
"Hoteles y restaurantes (011)",145,7,57,46,30,5
"Trans., almac. y comunicaciones (012)",122,2,60,50,9,1
"Intermediación financiera (013)",1,,1,,,
"Activid.inmobil., empres. y alquileres (014)",49,,16,24,9,
"Admin.pub. y defensa; p. segur.soc afil (015)",201,,67,82,49,3
"Enseñanza (016)",427,,91,216,119,1
"Servicios sociales y de salud (017)",60,,13,39,8,
"Otras activ. serv.comun.soc y personales (018)",62,1,23,23,13,2
"Hogares privados con servicio doméstico (019)",57,6,35,9,6,1
"Actividad economica no especificada (021)",222,,60,79,51,32
"Desocupado (022)",501,5,262,146,77,11
"Hombres (023)",6251,51,1589,2250,1781,580
"Agric., ganadería, caza y silvicultura (024)",3911,33,825,1280,1257,516
"Pesca (025)",4,,2,1,1,
"Explotación de minas y canteras (026)",19,,7,8,3,1
"Industrias manufactureras (027)",283,3,86,102,77,15
"Suministro de electricidad, gas y agua (028)",15,,7,5,3,
"Construcción (029)",597,,168,273,145,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",174,4,52,75,37,6
"Venta, mant.y rep. veh.autom.y motoc. (031)",18,,11,7,,
"Comercio al por mayor (032)",6,,2,3,1,
"Comercio al por menor (033)",150,4,39,65,36,6
"Hoteles y restaurantes (034)",19,4,9,1,5,
"Trans., almac. y comunicaciones (035)",111,,55,46,9,1
"Intermediación financiera (036)",1,,1,,,
"Activid.inmobil., empres. y alquileres (037)",41,,12,20,9,
"Admin.pub. y defensa; p. segur.soc afil (038)",173,,48,78,44,3
"Enseñanza (039)",301,,51,158,92,
"Servicios sociales y de salud (040)",24,,4,16,4,
"Otras activ. serv.comun.soc y personales (041)",41,1,18,17,5,
"Hogares privados con servicio doméstico (042)",16,4,7,4,1,
