"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MORROPON (000)",140818,19269,2162,66744,39422,3739,4239,2128,3115
"Hombres (001)",71395,7864,1088,34294,21817,1816,1852,1121,1543
"Mujeres (002)",69423,11405,1074,32450,17605,1923,2387,1007,1572
"PEA (003)",51202,6354,68,21580,15369,1829,2841,981,2180
"Hombres (004)",40053,4972,50,17870,12522,1181,1574,636,1248
"Mujeres (005)",11149,1382,18,3710,2847,648,1267,345,932
"Ocupada (006)",47136,5877,61,19812,13961,1708,2704,914,2099
"Hombres (007)",36566,4542,45,16268,11329,1107,1497,587,1191
"Mujeres (008)",10570,1335,16,3544,2632,601,1207,327,908
"Desocupada (009)",4066,477,7,1768,1408,121,137,67,81
"Hombres (010)",3487,430,5,1602,1193,74,77,49,57
"Mujeres (011)",579,47,2,166,215,47,60,18,24
"No PEA (012)",89616,12915,2094,45164,24053,1910,1398,1147,935
"Hombres (013)",31342,2892,1038,16424,9295,635,278,485,295
"Mujeres (014)",58274,10023,1056,28740,14758,1275,1120,662,640
,,,,,,,,,
"URBANA (018)",81700,9032,1104,34223,25910,3101,3631,1878,2821
"Hombres (019)",40789,3833,540,17035,14010,1468,1519,985,1399
"Mujeres (020)",40911,5199,564,17188,11900,1633,2112,893,1422
"PEA (021)",31280,3023,38,10747,10650,1560,2420,865,1977
"Hombres (022)",22740,2236,29,8209,8307,980,1287,561,1131
"Mujeres (023)",8540,787,9,2538,2343,580,1133,304,846
"Ocupada (024)",28918,2804,32,9873,9731,1464,2308,800,1906
"Hombres (025)",20800,2045,25,7449,7534,925,1227,513,1082
"Mujeres (026)",8118,759,7,2424,2197,539,1081,287,824
"Desocupada (027)",2362,219,6,874,919,96,112,65,71
"Hombres (028)",1940,191,4,760,773,55,60,48,49
"Mujeres (029)",422,28,2,114,146,41,52,17,22
"No PEA (030)",50420,6009,1066,23476,15260,1541,1211,1013,844
"Hombres (031)",18049,1597,511,8826,5703,488,232,424,268
"Mujeres (032)",32371,4412,555,14650,9557,1053,979,589,576
,,,,,,,,,
"RURAL (036)",59118,10237,1058,32521,13512,638,608,250,294
"Hombres (037)",30606,4031,548,17259,7807,348,333,136,144
"Mujeres (038)",28512,6206,510,15262,5705,290,275,114,150
"PEA (039)",19922,3331,30,10833,4719,269,421,116,203
"Hombres (040)",17313,2736,21,9661,4215,201,287,75,117
"Mujeres (041)",2609,595,9,1172,504,68,134,41,86
"Ocupada (042)",18218,3073,29,9939,4230,244,396,114,193
"Hombres (043)",15766,2497,20,8819,3795,182,270,74,109
"Mujeres (044)",2452,576,9,1120,435,62,126,40,84
"Desocupada (045)",1704,258,1,894,489,25,25,2,10
"Hombres (046)",1547,239,1,842,420,19,17,1,8
"Mujeres (047)",157,19,,52,69,6,8,1,2
"No PEA (048)",39196,6906,1028,21688,8793,369,187,134,91
"Hombres (049)",13293,1295,527,7598,3592,147,46,61,27
"Mujeres (050)",25903,5611,501,14090,5201,222,141,73,64
